code;new_category (pnns_groups_2)
6,41645E+12;Chocolate products
6,4209E+12;Chocolate products
6,436E+12;Chocolate products
6,436E+12;Chocolate products
7,62221E+12;Chocolate products
6,41645E+12;Chocolate products
6,41645E+12;Chocolate products
6,43002E+12;Dairy desserts
6,43002E+12;Dairy desserts
4,05649E+12;Dairy desserts
90426278;Dairy desserts
40084725;Dairy desserts
6,4104E+12;Fish and seafood
6,41513E+12;Fruit juices
7,35007E+12;Fruit juices
7,34001E+12;Fruit juices
6,41489E+12;Fruit juices
6,41489E+12;Fruit juices
6,41041E+12;Ice cream
20214432;Legumes
4,10029E+12;Milk and yogurt
5,06012E+12;Milk and yogurt
6,40843E+12;Milk and yogurt
6,40843E+12;Milk and yogurt
6,41041E+12;Nuts
6,41041E+12;Nuts
6,41041E+12;Nuts
6,41041E+12;Nuts
6,41041E+12;Nuts
4,0118E+12;Nuts
6,43007E+12;Nuts
5,69423E+12;Nuts
6,43005E+12;Nuts
7,03771E+12;Nuts
7,03771E+12;Nuts
8,59523E+12;Nuts
8,59523E+12;Nuts
5,00016E+12;Nuts
5,00016E+12;Nuts
5,71284E+12;Nuts
5,00016E+12;Nuts
6,43004E+12;Nuts
6,40786E+12;One-dish meals
6,40967E+12;One-dish meals
6,4242E+12;One-dish meals
42463870;One-dish meals
6,43004E+12;One-dish meals
6,43004E+12;One-dish meals
20642556;One-dish meals
6,40651E+12;One-dish meals
6,41041E+12;One-dish meals
6,412E+12;One-dish meals
6,41571E+12;One-dish meals
6,43004E+12;One-dish meals
6,40811E+12;One-dish meals
6,40779E+12;Pastries
6,40864E+12;Pastries
6,40977E+12;Pastries
6,40977E+12;Pastries
6,41347E+12;Pastries
6,41663E+12;Pastries
6,43001E+12;Pastries
6,43006E+12;Pastries
6,43007E+12;Pastries
6,4343E+12;Pastries
6,4343E+12;Pastries
7,3105E+12;Pastries
6,4114E+12;Pastries
6,40779E+12;Pastries
6,41615E+12;Pastries
7,31107E+12;Pastries
6,47669E+11;Pastries
4,05649E+12;Pastries
20788957;Pastries
6,40977E+12;Pastries
6,41041E+12;Pastries
6,4163E+12;Pastries
5,90765E+12;Pastries
7,31107E+12;Pastries
20996154;Pastries
4,05649E+12;Pastries
6,412E+12;Pastries
7,31107E+12;Pastries
20400934;Pastries
6,41347E+12;Pastries
6,43001E+12;Pastries
6,4343E+12;Pastries
6,41619E+12;Pastries
20887728;Pastries
5,41316E+12;Pastries
6,40551E+12;Pastries
6,40551E+12;Pastries
6,41014E+12;Pastries
6,41058E+12;Pastries
6,41058E+12;Pastries
6,41155E+12;Pastries
6,41155E+12;Pastries
6,41155E+12;Pastries
6,41347E+12;Pastries
6,41663E+12;pastries
6,4242E+12;Pastries
6,43004E+12;Pastries
6,43005E+12;Pastries
6,4343E+12;Pastries
6,4343E+12;Pastries
6,41041E+12;Pastries
6,41619E+12;Pastries
6,41645E+12;Pastries
6,4343E+12;Pastries
6,40855E+12;Pastries
6,43004E+12;Pastries
6,43004E+12;Pastries
6,43004E+12;Pastries
6,4343E+12;Pastries
6,4114E+12;Pastries
6,40843E+12;Plant-based milk substitutes
6,40866E+12;Plant-based milk substitutes
6,40866E+12;Plant-based milk substitutes
6,40866E+12;Plant-based milk substitutes
6,4112E+12;Plant-based milk substitutes
6,4112E+12;Plant-based milk substitutes
6,4112E+12;Plant-based milk substitutes
6,43008E+12;Plant-based milk substitutes
7,31144E+12;Plant-based milk substitutes
7,31144E+12;Plant-based milk substitutes
7,31144E+12;Plant-based milk substitutes
7,31144E+12;Plant-based milk substitutes
7,31144E+12;Plant-based milk substitutes
6,40843E+12;Plant-based milk substitutes
6,41022E+12;Plant-based milk substitutes
6,41022E+12;Plant-based milk substitutes
5,41119E+12;Plant-based milk substitutes
5,41119E+12;Plant-based milk substitutes
5,41119E+12;Plant-based milk substitutes
6,40843E+12;Plant-based milk substitutes
6,40843E+12;Plant-based milk substitutes
6,40843E+12;Plant-based milk substitutes
6,40843E+12;Plant-based milk substitutes
6,40843E+12;Plant-based milk substitutes
6,40843E+12;Plant-based milk substitutes
6,40843E+12;Plant-based milk substitutes
6,40843E+12;Plant-based milk substitutes
6,40866E+12;Plant-based milk substitutes
6,40866E+12;Plant-based milk substitutes
6,40866E+12;Plant-based milk substitutes
6,41022E+12;Plant-based milk substitutes
6,41022E+12;Plant-based milk substitutes
6,4112E+12;Plant-based milk substitutes
6,43002E+12;Plant-based milk substitutes
6,43002E+12;Plant-based milk substitutes
6,43002E+12;Plant-based milk substitutes
6,43002E+12;Plant-based milk substitutes
6,43007E+12;Plant-based milk substitutes
6,43007E+12;Plant-based milk substitutes
6,43008E+12;Plant-based milk substitutes
7,31144E+12;Plant-based milk substitutes
7,31144E+12;Plant-based milk substitutes
7,35013E+12;Plant-based milk substitutes
8,71932E+12;Plant-based milk substitutes
5,41119E+12;Plant-based milk substitutes
5,41119E+12;Plant-based milk substitutes
5,41119E+12;Plant-based milk substitutes
5,41119E+12;Plant-based milk substitutes
5,41119E+12;Plant-based milk substitutes
38900033118;Plant-based milk substitutes
38900033125;Plant-based milk substitutes
5,41119E+12;Plant-based milk substitutes
8,71933E+12;Plant-based milk substitutes
4,74004E+12;Plant-based milk substitutes
5,70198E+12;Plant-based milk substitutes
5,70198E+12;Plant-based milk substitutes
6,40843E+12;Plant-based milk substitutes
6,41022E+12;Plant-based milk substitutes
6,43008E+12;Plant-based milk substitutes
8,71933E+12;Plant-based milk substitutes
8,71933E+12;Plant-based milk substitutes
6,40843E+12;Plant-based milk substitutes
6,41489E+12;Plant-based milk substitutes
7,31144E+12;Plant-based milk substitutes
6,40843E+12;Plant-based milk substitutes
6,43002E+12;Plant-based milk substitutes
5,41119E+12;Plant-based milk substitutes
5,41119E+12;Plant-based milk substitutes
5,41119E+12;Plant-based milk substitutes
4,05649E+12;Plant-based milk substitutes
4,05649E+12;Plant-based milk substitutes
5,41119E+12;Plant-based milk substitutes
5,41119E+12;Plant-based milk substitutes
5,41119E+12;Plant-based milk substitutes
5,41119E+12;Plant-based milk substitutes
5,41119E+12;Plant-based milk substitutes
5,41119E+12;Plant-based milk substitutes
5,41119E+12;Plant-based milk substitutes
5,41119E+12;Plant-based milk substitutes
5,41119E+12;Plant-based milk substitutes
5,41119E+12;Plant-based milk substitutes
5,41119E+12;Plant-based milk substitutes
5,41119E+12;Plant-based milk substitutes
5,41119E+12;Plant-based milk substitutes
5,41119E+12;Plant-based milk substitutes
5,41119E+12;Plant-based milk substitutes
6,41022E+12;Plant-based milk substitutes
6,41041E+12;Plant-based milk substitutes
6,43002E+12;Plant-based milk substitutes
6,40843E+12;Plant-based milk substitutes
6,41022E+12;Plant-based milk substitutes
6,41022E+12;Plant-based milk substitutes
6,4112E+12;Plant-based milk substitutes
6,43002E+12;Plant-based milk substitutes
6,43002E+12;Plant-based milk substitutes
6,43002E+12;Plant-based milk substitutes
6,43002E+12;Plant-based milk substitutes
6,43002E+12;Plant-based milk substitutes
7,39438E+12;Plant-based milk substitutes
7,39438E+12;Plant-based milk substitutes
7,39438E+12;Plant-based milk substitutes
7,31144E+12;Plant-based milk substitutes
6,4063E+12;Processed meat
6,4091E+12;Processed meat
6,4078E+12;Processed meat
6,41489E+12;Protein snacks and drinks
4,00297E+12;Protein snacks and drinks
5,06022E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
7,31086E+12;Protein snacks and drinks
7,31086E+12;Protein snacks and drinks
7,31086E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,41041E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,4133E+12;Protein snacks and drinks
6,4133E+12;Protein snacks and drinks
6,41489E+12;Protein snacks and drinks
6,43006E+12;Protein snacks and drinks
6,43007E+12;Protein snacks and drinks
6,43007E+12;Protein snacks and drinks
7,31086E+12;Protein snacks and drinks
7,31086E+12;Protein snacks and drinks
4,74013E+12;Protein snacks and drinks
6,42177E+12;Protein snacks and drinks
6,43857E+12;Protein snacks and drinks
6,43857E+12;Protein snacks and drinks
6,43857E+12;Protein snacks and drinks
7,31086E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,40865E+12;Protein snacks and drinks
6,41041E+12;Protein snacks and drinks
6,41041E+12;Protein snacks and drinks
6,4133E+12;Protein snacks and drinks
6,4133E+12;Protein snacks and drinks
6,41489E+12;Protein snacks and drinks
6,41778E+12;Protein snacks and drinks
6,41232E+12;Protein snacks and drinks
6,41778E+12;Protein snacks and drinks
6,41778E+12;Protein snacks and drinks
6,41778E+12;Protein snacks and drinks
6,41778E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,40865E+12;Protein snacks and drinks
6,40865E+12;Protein snacks and drinks
6,41778E+12;Protein snacks and drinks
6,43004E+12;Protein snacks and drinks
6,43007E+12;Protein snacks and drinks
6,43007E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,41645E+12;Protein snacks and drinks
6,41645E+12;Protein snacks and drinks
6,41778E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,40865E+12;Protein snacks and drinks
6,43004E+12;Protein snacks and drinks
6,43007E+12;Protein snacks and drinks
7,35E+12;Protein snacks and drinks
6,41041E+12;Protein snacks and drinks
6,43006E+12;Protein snacks and drinks
6,43006E+12;Protein snacks and drinks
6,43006E+12;Protein snacks and drinks
7,31086E+12;Protein snacks and drinks
7,31086E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,40865E+12;Protein snacks and drinks
6,40865E+12;Protein snacks and drinks
6,41778E+12;Protein snacks and drinks
7,35007E+12;Protein snacks and drinks
5,70419E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,4112E+12;Protein snacks and drinks
6,4112E+12;Protein snacks and drinks
6,42981E+12;Protein snacks and drinks
6,43005E+12;Protein snacks and drinks
6,43006E+12;Protein snacks and drinks
6,43006E+12;Protein snacks and drinks
6,43006E+12;Protein snacks and drinks
6,43007E+12;Protein snacks and drinks
6,43007E+12;Protein snacks and drinks
6,43007E+12;Protein snacks and drinks
6,41041E+12;Protein snacks and drinks
7,35E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
5,41119E+12;Protein snacks and drinks
7,34E+12;Protein snacks and drinks
5,0604E+12;Protein snacks and drinks
7,34E+12;Protein snacks and drinks
7,35007E+12;Protein snacks and drinks
4,00297E+12;Protein snacks and drinks
4,00297E+12;Protein snacks and drinks
4,0118E+12;Protein snacks and drinks
5,00016E+12;Protein snacks and drinks
5,0604E+12;Protein snacks and drinks
6,43006E+12;Protein snacks and drinks
6,43006E+12;Protein snacks and drinks
7,31086E+12;Protein snacks and drinks
7,31086E+12;Protein snacks and drinks
7,34E+12;Protein snacks and drinks
7,34E+12;Protein snacks and drinks
7,34E+12;Protein snacks and drinks
7,34E+12;Protein snacks and drinks
7,34E+12;Protein snacks and drinks
7,34E+12;Protein snacks and drinks
7,35007E+12;Protein snacks and drinks
7,35007E+12;Protein snacks and drinks
7,35007E+12;Protein snacks and drinks
4,00297E+12;Protein snacks and drinks
5,41119E+12;Protein snacks and drinks
6,4133E+12;Protein snacks and drinks
4,00297E+12;Protein snacks and drinks
4,00297E+12;Protein snacks and drinks
5,71284E+12;Protein snacks and drinks
7,34003E+12;Protein snacks and drinks
4,00297E+12;Protein snacks and drinks
4,00297E+12;Protein snacks and drinks
5,41119E+12;Protein snacks and drinks
4,00297E+12;Protein snacks and drinks
4,00297E+12;Protein snacks and drinks
4,00297E+12;Protein snacks and drinks
5,00016E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
7,31086E+12;Protein snacks and drinks
73143611;Protein snacks and drinks
73143628;Protein snacks and drinks
7,35007E+12;Protein snacks and drinks
7,35007E+12;Protein snacks and drinks
7,35007E+12;Protein snacks and drinks
6,4133E+12;Protein snacks and drinks
6,4133E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,41778E+12;Protein snacks and drinks
6,4136E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,4133E+12;Protein snacks and drinks
6,4133E+12;Protein snacks and drinks
6,4133E+12;Protein snacks and drinks
20920777;Protein snacks and drinks
4,0236E+12;Protein snacks and drinks
4,0236E+12;Protein snacks and drinks
4,05649E+12;Protein snacks and drinks
4,10029E+12;Protein snacks and drinks
5,70419E+12;Protein snacks and drinks
6,40865E+12;Protein snacks and drinks
6,41778E+12;Protein snacks and drinks
6,41778E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,43006E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,40843E+12;Protein snacks and drinks
6,40651E+12;Sandwiches
6,4051E+12;Sandwiches
6,43008E+12;Sandwiches
6,4051E+12;Sandwiches
6,4051E+12;Sandwiches
6,41347E+12;Sandwiches
6,4242E+12;Sandwiches
6,40942E+12;Sandwiches
6,43004E+12;Sandwiches
6,41572E+12;Soups
6,40843E+12;Soups
5,70764E+12;Sugar and honey
7,33129E+11;Sugar and Honey
6,41232E+12;Sugar and Honey
6,43005E+12;Sugar and Honey
6,41964E+12;Sugar and Honey
5,76523E+12;Sugar and Honey
6,41232E+12;Sugar and Honey
6,41936E+12;Sugar and Honey
6,41141E+12;Sugar and Honey
20072803;Sugar and Honey
5,70126E+12;Sugar and Honey
20624477;Sugar and Honey
6,4104E+12;Sugar and Honey
6,41933E+12;Sugar and Honey
6,414E+12;Sugar and Honey
6,414E+12;Sugar and Honey
6,43004E+12;Sugar and Honey
6,41571E+12;Sugar and Honey
8,71044E+12;Sugar and Honey
6,4136E+12;Sweetened beverages
7,62221E+12;Sweets
6,41655E+12;Sweets
6,43005E+12;Sweets
4,10029E+12;Teas and herbal teas and coffee
20036850;Teas and herbal teas and coffee
6,41735E+12;Teas and herbal teas and coffee
8,71823E+12;Teas and herbal teas and coffee
5,71195E+12;Yogurt
6,43006E+12;Yogurt
5,70198E+12;Yogurt
